Date,Gigawatt/h
1980-12-31,164.891
1981-12-31,163.087
1982-12-31,165.723
1983-12-31,164.854
1984-12-31,174.155
1985-12-31,178.066
1986-12-31,183.551
1987-12-31,193.549
1988-12-31,186.849
1989-12-31,211.8418
1990-12-31,219.007
1991-12-31,224.429
1992-12-31,229.508
1993-12-31,229.183
1994-12-31,236.653
1995-12-31,243.307
1996-12-31,245.688
1997-12-31,252.79797
1998-12-31,260.156
1999-12-31,266.697
2000-12-31,279.10628
2001-12-31,285.05274
2002-12-31,291.34124
2003-12-31,295.80776
2004-12-31,302.9726
2005-12-31,307.7617
2006-12-31,314.76048
2007-12-31,315.7126
2008-12-31,315.49106
2009-12-31,297.9347
2010-12-31,306.98084
2011-12-31,311.01245
2012-12-31,305.47977
2013-12-31,296.54826
2014-12-31,290.98511
2015-12-31,296.20171
2016-12-31,293.52776
2017-12-31,299.86781
2018-12-31,301.623855
2019-12-31,297.150052
2020-12-31,297.65
2021-12-31,300.71
