Date,GMERTRB
2021-03-31,61.2882
2021-03-30,60.5822
2021-03-29,62.4245
2021-03-28,63.2083
2021-03-27,63.2715
2021-03-26,58.0523
2021-03-25,65.6874
2021-03-24,65.7092
2021-03-23,62.3471
2021-03-22,61.6504
2021-03-21,62.6171
2021-03-20,55.2741
2021-03-19,65.4323
2021-03-18,63.8027
2021-03-17,72.0071
2021-03-16,60.4181
2021-03-15,62.5421
2021-03-14,53.631
2021-03-13,43.8896
2021-03-12,56.4801
2021-03-11,60.5915
2021-03-10,61.2795
2021-03-09,55.6199
2021-03-08,64.305
2021-03-07,62.9012
2021-03-06,53.5927
2021-03-05,55.8279
2021-03-04,57.7097
2021-03-03,61.8781
2021-03-02,62.5206
2021-03-01,61.3195
2021-02-28,55.6761
2021-02-27,43.1506
2021-02-26,51.6665
2021-02-25,60.9111
2021-02-24,59.26
2021-02-23,54.5877
2021-02-22,57.269
2021-02-21,56.2218
2021-02-20,43.7292
2021-02-19,54.0844
2021-02-18,61.8056
2021-02-17,60.383
2021-02-16,63.1341
2021-02-15,61.8672
2021-02-14,58.1723
2021-02-13,45.7217
2021-02-12,58.4962
2021-02-11,66.3637
2021-02-10,69.0165
2021-02-09,63.8757
2021-02-08,59.2485
2021-02-07,47.5872
2021-02-06,37.0023
2021-02-05,56.7963
2021-02-04,62.816
2021-02-03,53.8134
2021-02-02,57.811
2021-02-01,58.9799
2021-01-31,60.2656
2021-01-30,46.4718
2021-01-29,49.68
2021-01-28,54.05
2021-01-27,60.82
2021-01-26,60.49
2021-01-25,63.1
2021-01-24,59.11
2021-01-23,48.59
2021-01-22,52.96
2021-01-21,59.76
2021-01-20,61.12
2021-01-19,63.02
2021-01-18,70.23
2021-01-17,69.9
2021-01-16,58.51
2021-01-15,57.28
2021-01-14,71.88
2021-01-13,76.71
2021-01-12,73.78
2021-01-11,68.12
2021-01-10,66.83
2021-01-09,57.34
2021-01-08,60.81
2021-01-07,75.81
2021-01-06,71.96
2021-01-05,58.23
2021-01-04,59.29
2021-01-03,59.1
2021-01-02,47.73
2021-01-01,51.22
2020-12-31,48.17
2020-12-30,48.92
2020-12-29,51.43
2020-12-28,49.43
2020-12-27,41.24
2020-12-26,35.55
2020-12-25,37.23
2020-12-24,32.52
2020-12-23,39.75
2020-12-22,51.37
2020-12-21,56.37
2020-12-20,56.84
2020-12-19,46.67
2020-12-18,57.31
2020-12-17,65.15
2020-12-16,68.66
2020-12-15,65.17
2020-12-14,57.85
2020-12-13,52.34
2020-12-12,43.68
2020-12-11,52.82
2020-12-10,57.42
2020-12-09,68.67
2020-12-08,71.92
2020-12-07,58.38
2020-12-06,54.84
2020-12-05,46.44
2020-12-04,51.4
2020-12-03,59.22
2020-12-02,65.01
2020-12-01,72.64
2020-11-30,58.87
2020-11-29,57.34
2020-11-28,46.89
2020-11-27,54.29
2020-11-26,68.73
2020-11-25,57.91
2020-11-24,55.33
2020-11-23,55.51
2020-11-22,54.33
2020-11-21,40.8163
2020-11-20,41.0115
2020-11-19,49.8556
2020-11-18,47.2877
2020-11-17,48.093
2020-11-16,46.4844
2020-11-15,51.8161
2020-11-14,45.1421
2020-11-13,48.4052
2020-11-12,51.2087
2020-11-11,57.8627
2020-11-10,47.9734
2020-11-09,50.5188
2020-11-08,45.7712
2020-11-07,41.8344
2020-11-06,39.8048
2020-11-05,42.7134
2020-11-04,43.6177
2020-11-03,44.5237
2020-11-02,45.4298
2020-11-01,44.1742
2020-10-31,37.7474
2020-10-30,40.3995
2020-10-29,46.202
2020-10-28,46.1615
2020-10-27,50.0475
2020-10-26,48.3748
2020-10-25,41.5149
2020-10-24,33.1595
2020-10-23,45.5026
2020-10-22,47.9321
2020-10-21,51.3388
2020-10-20,46.9711
2020-10-19,50.0143
2020-10-18,51.6687
2020-10-17,43.7138
2020-10-16,45.7572
2020-10-15,49.112
2020-10-14,45.3297
2020-10-13,52.8171
2020-10-12,47.4621
2020-10-11,48.6718
2020-10-10,34.8058
2020-10-09,39.2961
2020-10-08,47.4758
2020-10-07,38.3464
2020-10-06,40.2108
2020-10-05,40.9886
2020-10-04,36.4204
2020-10-03,20.0311
2020-10-02,31.9328
2020-10-01,43.6211
2020-09-30,45.7875
2020-09-29,51.9403
2020-09-28,55.12
2020-09-26,34.9722
2020-09-25,33.6158
2020-09-24,49.2946
2020-09-23,49.2904
2020-09-22,51.9346
2020-09-21,57.9328
2020-09-20,59.635
2020-09-19,42.358
2020-09-18,42.1478
2020-09-17,46.1177
2020-09-16,52.5628
2020-09-15,59.5201
2020-09-14,71.3171
2020-09-13,54.4864
2020-09-12,37.3001
2020-09-11,41.8187
2020-09-10,56.8311
2020-09-09,52.3093
2020-09-08,50.8971
2020-09-07,48.4697
2020-09-06,48.4086
2020-09-05,37.5549
2020-09-04,38.1872
2020-09-03,45.1131
2020-09-02,47.5914
2020-09-01,50.2067
2020-08-31,49.3574
2020-08-30,54.2739
2020-08-29,34.7724
2020-08-28,40.5373
2020-08-27,46.6656
2020-08-26,52.2675
2020-08-25,49.0406
2020-08-24,40.6381
2020-08-23,45.7641
2020-08-22,27.5263
2020-08-21,40.3906
2020-08-20,39.9873
2020-08-19,44.3061
2020-08-18,44.3383
2020-08-17,43.434
2020-08-16,42.3052
2020-08-15,34.0322
2020-08-14,32.9253
2020-08-13,38.948
2020-08-12,41.3414
2020-08-11,42.9597
2020-08-10,41.148
2020-08-09,40.5204
2020-08-08,29.7917
2020-08-07,33.5948
2020-08-06,38.7082
2020-08-05,37.5578
2020-08-04,42.0456
2020-08-03,38.0925
2020-08-02,40.4385
2020-08-01,34.3688
2020-07-31,37.1552
2020-07-30,57.9485
2020-07-29,49.0458
2020-07-28,51.7342
2020-07-27,41.5697
2020-07-26,39.915
2020-07-25,27.7174
2020-07-24,29.6976
2020-07-23,36.8225
2020-07-22,42.0561
2020-07-21,39.9648
2020-07-20,38.6699
2020-07-19,36.743
2020-07-18,28.8781
2020-07-17,30.9643
2020-07-16,37.9388
2020-07-15,41.3038
2020-07-14,40.8586
2020-07-13,37.2451
2020-07-12,35.4386
2020-07-11,28.1239
2020-07-10,31.8327
2020-07-09,39.5932
2020-07-08,40.9071
2020-07-07,41.7997
2020-07-06,34.1014
2020-07-05,32.6061
2020-07-04,23.39
2020-07-03,32.1054
2020-07-02,39.3983
2020-07-01,44.9295
2020-06-30,44.8817
2020-06-29,38.9188
2020-06-28,31.8969
2020-06-27,28.5251
2020-06-26,30.145
2020-06-25,36.8192
2020-06-24,38.352
2020-06-23,35.3819
2020-06-22,31.4409
2020-06-21,30.1776
2020-06-20,20.3637
2020-06-19,26.6255
2020-06-18,30.9715
2020-06-17,30.0861
2020-06-16,31.5857
2020-06-15,31.2906
2020-06-14,31.2583
2020-06-13,20.313
2020-06-12,23.3245
2020-06-11,26.0831
2020-06-10,25.1767
2020-06-09,27.88
2020-06-08,30.3744
2020-06-07,31.2443
2020-06-06,20.3516
2020-06-05,16.416
2020-06-04,23.6666
2020-06-03,24.829
2020-06-02,26.7319
2020-06-01,20.6441
2020-05-31,19.3704
2020-05-30,21.9519
2020-05-29,24.0978
2020-05-28,28.8805
2020-05-27,20.6222
2020-05-26,21.6597
2020-05-25,24.7771
2020-05-24,17.8674
2020-05-23,11.894
2020-05-22,18.9359
2020-05-21,20.485
2020-05-20,17.9834
2020-05-19,24.1309
2020-05-18,27.7543
2020-05-17,25.1633
2020-05-16,18.059
2020-05-15,20.7205
2020-05-14,21.4619
2020-05-13,22.4904
2020-05-12,28.6381
2020-05-11,22.6201
2020-05-10,23.8861
2020-05-09,20.2674
2020-05-08,25.8257
2020-05-07,22.6698
2020-05-06,22.2241
2020-05-05,25.9941
2020-05-04,25.3043
2020-05-03,29.5578
2020-05-02,14.5346
2020-05-01,14.3078
2020-04-30,10.6593
2020-04-29,24.528
2020-04-28,20.6753
2020-04-27,26.014
2020-04-26,31.2064
2020-04-25,21.8142
2020-04-24,14.1764
2020-04-23,27.8255
2020-04-22,26.4212
2020-04-21,32.212
2020-04-20,27.6892
2020-04-19,30.9391
2020-04-18,24.299
2020-04-17,29.3055
2020-04-16,30.3126
2020-04-15,22.9549
2020-04-14,19.812
2020-04-13,25.6152
2020-04-12,13.9681
2020-04-11,15.8477
2020-04-10,23.397
2020-04-09,22.6118
2020-04-08,25.9489
2020-04-07,27.9556
2020-04-06,30.7877
2020-04-05,28.8269
2020-04-04,17.5163
2020-04-03,19.2447
2020-04-02,27.9279
2020-04-01,28.9465
2020-03-31,25.382
2020-03-30,24.874
2020-03-29,34.3538
2020-03-28,28.8669
2020-03-27,31.2804
2020-03-26,29.9559
2020-03-25,24.3548
2020-03-24,25.487
2020-03-23,27.2891
2020-03-22,16.9747
2020-03-21,24.7692
2020-03-20,26.5163
2020-03-19,30.3762
2020-03-18,30.9815
2020-03-17,29.3529
2020-03-16,33.7771
2020-03-15,33.1013
2020-03-14,20.6883
2020-03-13,36.2418
2020-03-12,34.1724
2020-03-11,39.6784
2020-03-10,39.7686
2020-03-09,39.6542
2020-03-08,43.4615
2020-03-07,23.0877
2020-03-06,40.0981
2020-03-05,36.4578
2020-03-04,45.8381
2020-03-03,41.961
2020-03-02,38.0862
2020-03-01,35.2476
2020-02-29,24.8048
2020-02-28,35.1794
2020-02-27,40.7531
2020-02-26,38.9657
2020-02-25,34.9054
2020-02-24,40.2381
2020-02-23,38.3016
2020-02-22,32.6244
2020-02-21,37.7488
2020-02-20,46.0949
2020-02-19,38.8288
2020-02-18,40.0026
2020-02-17,39.372
2020-02-16,40.647
2020-02-15,36.4435
2020-02-14,36.4237
2020-02-13,38.1876
2020-02-12,42.1775
2020-02-11,42.8659
2020-02-10,38.5613
2020-02-09,38.4254
2020-02-08,36.8227
2020-02-07,41.3399
2020-02-06,48.0745
2020-02-05,40.5919
2020-02-04,39.1664
2020-02-03,40.0852
2020-02-02,37.6139
2020-02-01,38.7387
2020-01-31,40.5799
2020-01-30,44.9312
2020-01-29,45.4907
2020-01-28,44.5007
2020-01-27,45.3271
2020-01-26,48.0397
2020-01-25,45.3768
2020-01-24,45.7962
2020-01-23,51.7243
2020-01-22,51.631
2020-01-21,50.8164
2020-01-20,47.6607
2020-01-19,45.8561
2020-01-18,42.9832
2020-01-17,46.7512
2020-01-16,51.8895
2020-01-15,50.2815
2020-01-14,54.867
2020-01-13,56.214
2020-01-12,54.2838
2020-01-11,45.0607
2020-01-10,45.4193
2020-01-09,52.9781
2020-01-08,55.4405
2020-01-07,47.92
2020-01-06,52.5909
2020-01-05,39.9234
2020-01-04,38.0604
2020-01-03,44.2087
2020-01-02,43.9382
2020-01-01,45.7454
2019-12-31,35.7921
2019-12-30,43.7382
2019-12-29,37.0694
2019-12-28,31.0697
2019-12-27,35.1918
2019-12-26,45.9864
2019-12-25,34.8181
2019-12-24,21.7807
2019-12-23,27.4213
2019-12-22,28.3895
2019-12-21,27.0024
2019-12-20,29.9528
2019-12-19,41.0354
2019-12-18,49.9434
2019-12-17,43.9607
2019-12-16,46.5941
2019-12-15,48.1739
2019-12-14,40.8704
2019-12-13,41.9252
2019-12-12,47.9946
2019-12-11,52.5727
2019-12-10,51.1374
2019-12-09,48.7674
2019-12-08,47.3565
2019-12-07,48.3313
2019-12-06,51.1688
2019-12-05,53.3234
2019-12-04,57.2516
